Member_number,Date,itemDescription,category
4249,01-03-2014,canned beer,Canned Goods
4741,13-04-2014,ice cream,Dairy
3286,18-08-2014,artif. sweetener,Uncategorized
1865,29-03-2014,ice cream,Dairy
1991,12-03-2014,tropical fruit,Fruits
2289,08-02-2014,UHT-milk,Dairy
4080,10-11-2014,canned beer,Canned Goods
4692,18-08-2014,grapes,Uncategorized
1384,24-01-2014,canned beer,Canned Goods
1275,19-06-2014,ice cream,Dairy
1536,30-07-2014,root vegetables,Vegetables
1170,13-09-2014,pip fruit,Fruits
1978,15-10-2014,turkey,Uncategorized
2663,15-11-2014,tropical fruit,Fruits
3178,01-02-2014,butter,Dairy
3039,15-10-2014,butter,Dairy
4206,11-12-2014,whole milk,Dairy
3893,09-10-2014,sausage,Meat
4963,29-12-2014,white wine,Uncategorized
1829,12-10-2014,beverages,Uncategorized
1716,31-05-2014,whole milk,Dairy
1575,05-04-2014,dessert,Uncategorized
3900,23-01-2014,canned vegetables,Vegetables
4076,07-04-2014,tropical fruit,Fruits
3420,15-10-2014,margarine,Uncategorized
1887,24-05-2014,oil,Uncategorized
4376,15-02-2014,other vegetables,Vegetables
4837,07-07-2014,other vegetables,Vegetables
3698,01-03-2014,yogurt,Dairy
3288,22-04-2014,pip fruit,Fruits
3044,20-05-2014,rolls/buns,Bakery
3877,27-06-2014,whole milk,Dairy
2040,01-05-2014,rolls/buns,Bakery
2557,19-10-2014,sausage,Meat
4672,21-11-2014,cream cheese ,Dairy
1559,09-08-2014,sausage,Meat
4340,27-06-2014,bottled beer,Uncategorized
1393,21-07-2014,yogurt,Dairy
3695,20-01-2014,frozen vegetables,Vegetables
3078,17-12-2014,yogurt,Dairy
4937,06-09-2014,curd,Uncategorized
1638,14-08-2014,prosecco,Uncategorized
1908,19-12-2014,frozen vegetables,Vegetables
2104,25-09-2014,whole milk,Dairy
3566,16-01-2014,other vegetables,Vegetables
2279,25-11-2014,bottled water,Beverages
1033,18-04-2014,fruit/vegetable juice,Fruits
3146,27-06-2014,rolls/buns,Bakery
4121,06-06-2014,yogurt,Dairy
3798,15-02-2014,chocolate marshmallow,Snacks
3939,25-09-2014,pip fruit,Fruits
3473,02-08-2014,tropical fruit,Fruits
1750,17-07-2014,root vegetables,Vegetables
3994,02-12-2014,soft cheese,Dairy
3916,24-05-2014,canned beer,Canned Goods
3779,27-09-2014,liquor,Uncategorized
2547,12-02-2014,soda,Beverages
4392,17-01-2014,pork,Meat
3554,05-11-2014,artif. sweetener,Uncategorized
4534,15-10-2014,soda,Beverages
2040,31-07-2014,canned beer,Canned Goods
4575,03-05-2014,rolls/buns,Bakery
3086,14-04-2014,rolls/buns,Bakery
4479,02-07-2014,brown bread,Bakery
3022,24-04-2014,whole milk,Dairy
3248,09-11-2014,soda,Beverages
4501,08-09-2014,chicken,Meat
1023,17-05-2014,chicken,Meat
4380,13-11-2014,UHT-milk,Dairy
1829,19-04-2014,pip fruit,Fruits
3745,25-03-2014,root vegetables,Vegetables
1127,05-04-2014,citrus fruit,Fruits
4943,22-10-2014,brown bread,Bakery
3294,22-11-2014,grapes,Uncategorized
2031,08-01-2014,rolls/buns,Bakery
1641,17-08-2014,other vegetables,Vegetables
1114,04-09-2014,root vegetables,Vegetables
1910,01-10-2014,sliced cheese,Dairy
4340,27-10-2014,soft cheese,Dairy
2937,10-01-2014,rolls/buns,Bakery
2727,01-01-2014,hamburger meat,Meat
2812,08-12-2014,whipped/sour cream,Dairy
4659,22-04-2014,grapes,Uncategorized
4091,06-06-2014,other vegetables,Vegetables
2915,04-11-2014,citrus fruit,Fruits
2795,03-05-2014,rolls/buns,Bakery
1781,24-01-2014,tropical fruit,Fruits
2476,24-08-2014,pip fruit,Fruits
3405,20-08-2014,whole milk,Dairy
3243,02-01-2014,whole milk,Dairy
4972,21-12-2014,citrus fruit,Fruits
1574,12-02-2014,frozen fish,Seafood
2579,25-10-2014,liquor,Uncategorized
4322,03-04-2014,misc. beverages,Uncategorized
2784,24-12-2014,misc. beverages,Uncategorized
1435,17-04-2014,dessert,Uncategorized
1471,21-08-2014,tropical fruit,Fruits
2761,24-07-2014,frozen vegetables,Vegetables
2807,13-10-2014,UHT-milk,Dairy
4561,18-06-2014,whole milk,Dairy
2184,18-12-2014,onions,Uncategorized
2053,19-08-2014,rolls/buns,Bakery
4400,21-01-2014,rolls/buns,Bakery
3429,10-03-2014,fruit/vegetable juice,Fruits
2771,08-05-2014,long life bakery product,Uncategorized
1268,19-10-2014,oil,Uncategorized
3235,22-10-2014,whole milk,Dairy
3816,19-05-2014,root vegetables,Vegetables
2697,17-02-2014,berries,Uncategorized
4960,19-10-2014,root vegetables,Vegetables
4334,29-01-2014,bottled beer,Uncategorized
1462,18-01-2014,salty snack,Snacks
1613,19-11-2014,other vegetables,Vegetables
3120,08-11-2014,beef,Meat
3396,24-10-2014,frozen fish,Seafood
4403,30-04-2014,tropical fruit,Fruits
2432,19-01-2014,tropical fruit,Fruits
4397,27-12-2014,rolls/buns,Bakery
4700,06-02-2014,whole milk,Dairy
2559,27-10-2014,citrus fruit,Fruits
3759,29-08-2014,newspapers,Uncategorized
4470,13-06-2014,tropical fruit,Fruits
1636,20-05-2014,root vegetables,Vegetables
4870,21-02-2014,hamburger meat,Meat
3125,05-10-2014,tropical fruit,Fruits
1929,15-11-2014,butter,Dairy
2871,21-04-2014,newspapers,Uncategorized
3278,29-11-2014,frozen dessert,Frozen
2656,05-06-2014,bottled water,Beverages
3850,07-01-2014,rolls/buns,Bakery
1789,01-01-2014,hamburger meat,Meat
2390,18-01-2014,other vegetables,Vegetables
1162,18-01-2014,white bread,Bakery
4426,24-04-2014,whole milk,Dairy
2339,28-03-2014,brown bread,Bakery
2277,24-07-2014,curd,Uncategorized
3863,05-04-2014,beverages,Uncategorized
4596,22-04-2014,beverages,Uncategorized
4066,02-12-2014,whole milk,Dairy
4312,19-07-2014,root vegetables,Vegetables
2804,05-07-2014,rolls/buns,Bakery
2981,05-06-2014,fruit/vegetable juice,Fruits
1682,27-04-2014,liquor,Uncategorized
4586,16-08-2014,rolls/buns,Bakery
2011,16-04-2014,mayonnaise,Condiments
2147,24-04-2014,tropical fruit,Fruits
3476,30-06-2014,meat,Uncategorized
3734,16-12-2014,salty snack,Snacks
4505,27-11-2014,sweet spreads,Uncategorized
1333,26-06-2014,curd,Uncategorized
3990,16-05-2014,salty snack,Snacks
3137,13-07-2014,other vegetables,Vegetables
2949,25-03-2014,bottled water,Beverages
4838,09-08-2014,flower (seeds),Uncategorized
3303,21-12-2014,root vegetables,Vegetables
1803,06-04-2014,onions,Uncategorized
2348,22-11-2014,pastry,Bakery
2193,05-01-2014,whole milk,Dairy
2693,21-05-2014,white bread,Bakery
2885,26-12-2014,butter,Dairy
2629,29-04-2014,onions,Uncategorized
1966,10-10-2014,whole milk,Dairy
4638,11-08-2014,root vegetables,Vegetables
4695,11-05-2014,other vegetables,Vegetables
3523,04-05-2014,brown bread,Bakery
3592,20-12-2014,canned beer,Canned Goods
1871,14-12-2014,tropical fruit,Fruits
4387,06-09-2014,white bread,Bakery
1078,28-08-2014,chicken,Meat
2989,10-09-2014,citrus fruit,Fruits
1237,22-02-2014,cleaner,Household
2043,03-02-2014,other vegetables,Vegetables
3936,27-06-2014,other vegetables,Vegetables
4338,14-04-2014,tropical fruit,Fruits
4270,01-07-2014,nut snack,Snacks
1950,09-09-2014,other vegetables,Vegetables
2940,11-01-2014,citrus fruit,Fruits
1287,08-11-2014,soft cheese,Dairy
1990,07-03-2014,rolls/buns,Bakery
1346,09-04-2014,white wine,Uncategorized
1404,28-09-2014,rolls/buns,Bakery
3980,31-05-2014,pip fruit,Fruits
2917,27-05-2014,yogurt,Dairy
4196,06-11-2014,rolls/buns,Bakery
4941,13-04-2014,liquor,Uncategorized
2085,03-01-2014,soda,Beverages
4624,21-08-2014,fruit/vegetable juice,Fruits
3864,01-05-2014,other vegetables,Vegetables
3697,04-10-2014,whole milk,Dairy
4624,13-08-2014,coffee,Beverages
2673,22-04-2014,coffee,Beverages
3943,03-04-2014,baking powder,Uncategorized
2432,24-08-2014,whole milk,Dairy
2901,20-06-2014,domestic eggs,Uncategorized
4440,01-03-2014,butter milk,Dairy
4934,13-10-2014,root vegetables,Vegetables
4256,19-05-2014,specialty bar,Snacks
1246,13-06-2014,tropical fruit,Fruits
2305,18-10-2014,tropical fruit,Fruits
4308,22-10-2014,specialty bar,Snacks
2262,10-09-2014,whole milk,Dairy
4963,09-02-2014,other vegetables,Vegetables
4550,14-01-2014,chicken,Meat
1734,07-11-2014,napkins,Uncategorized
1050,10-10-2014,whipped/sour cream,Dairy
2788,17-02-2014,dessert,Uncategorized
1227,08-05-2014,yogurt,Dairy
2374,17-05-2014,canned beer,Canned Goods
3131,31-01-2014,long life bakery product,Uncategorized
1722,13-11-2014,canned beer,Canned Goods
3044,08-04-2014,soda,Beverages
4849,14-03-2014,onions,Uncategorized
1418,30-06-2014,citrus fruit,Fruits
1792,06-07-2014,pork,Meat
4218,24-08-2014,soda,Beverages
1376,02-04-2014,dessert,Uncategorized
2944,13-09-2014,dog food,Pet Supplies
3448,26-09-2014,beef,Meat
4188,20-08-2014,soda,Beverages
1278,24-01-2014,root vegetables,Vegetables
1354,17-03-2014,red/blush wine,Uncategorized
1690,10-03-2014,citrus fruit,Fruits
4364,01-02-2014,brown bread,Bakery
4783,25-07-2014,other vegetables,Vegetables
3437,19-04-2014,hamburger meat,Meat
4534,28-08-2014,tropical fruit,Fruits
2421,05-08-2014,bottled beer,Uncategorized
2938,23-03-2014,curd,Uncategorized
2750,04-10-2014,domestic eggs,Uncategorized
4258,13-06-2014,yogurt,Dairy
3023,11-12-2014,beef,Meat
4165,11-11-2014,other vegetables,Vegetables
4331,17-08-2014,coffee,Beverages
2193,12-04-2014,beef,Meat
4190,24-08-2014,chicken,Meat
4756,10-11-2014,fruit/vegetable juice,Fruits
3057,16-07-2014,soda,Beverages
2362,05-04-2014,onions,Uncategorized
4402,04-04-2014,cream cheese ,Dairy
4191,10-11-2014,other vegetables,Vegetables
1312,07-09-2014,tropical fruit,Fruits
4179,03-08-2014,hamburger meat,Meat
2608,19-11-2014,yogurt,Dairy
4991,24-04-2014,yogurt,Dairy
2517,26-02-2014,whipped/sour cream,Dairy
4745,01-04-2014,cat food,Pet Supplies
1248,25-03-2014,margarine,Uncategorized
3799,22-05-2014,hamburger meat,Meat
2850,10-01-2014,pip fruit,Fruits
1788,02-12-2014,canned beer,Canned Goods
3746,05-04-2014,chicken,Meat
1888,30-10-2014,chicken,Meat
1123,28-12-2014,pip fruit,Fruits
4168,23-09-2014,chicken,Meat
2979,25-08-2014,pip fruit,Fruits
1417,27-08-2014,UHT-milk,Dairy
3529,29-06-2014,pot plants,Uncategorized
3119,02-07-2014,tropical fruit,Fruits
1286,19-12-2014,root vegetables,Vegetables
3670,17-12-2014,rolls/buns,Bakery
1869,11-01-2014,root vegetables,Vegetables
3219,01-09-2014,tropical fruit,Fruits
3619,24-08-2014,tropical fruit,Fruits
3136,28-04-2014,soda,Beverages
3922,29-05-2014,soda,Beverages
2204,02-04-2014,other vegetables,Vegetables
1115,15-09-2014,whipped/sour cream,Dairy
2746,16-09-2014,root vegetables,Vegetables
4957,02-08-2014,whole milk,Dairy
3814,22-10-2014,bottled water,Beverages
2435,30-10-2014,citrus fruit,Fruits
2955,30-11-2014,root vegetables,Vegetables
4412,13-03-2014,UHT-milk,Dairy
4401,30-04-2014,butter,Dairy
4046,06-12-2014,meat,Uncategorized
1343,05-10-2014,red/blush wine,Uncategorized
4854,23-12-2014,root vegetables,Vegetables
2798,27-06-2014,rolls/buns,Bakery
2912,02-10-2014,whole milk,Dairy
2941,27-01-2014,rolls/buns,Bakery
2594,25-07-2014,root vegetables,Vegetables
4383,03-06-2014,whole milk,Dairy
4291,02-02-2014,whole milk,Dairy
3122,10-06-2014,root vegetables,Vegetables
1434,28-11-2014,chicken,Meat
2206,24-06-2014,frozen vegetables,Vegetables
4758,06-12-2014,pasta,Grains & Pasta
3370,24-11-2014,root vegetables,Vegetables
3295,07-06-2014,hamburger meat,Meat
4325,11-12-2014,pip fruit,Fruits
3089,27-10-2014,butter milk,Dairy
4758,01-04-2014,rolls/buns,Bakery
3748,16-02-2014,hamburger meat,Meat
1249,11-10-2014,soda,Beverages
4056,16-06-2014,rolls/buns,Bakery
4673,23-06-2014,curd,Uncategorized
4589,24-01-2014,pork,Meat
1995,04-11-2014,other vegetables,Vegetables
2663,30-03-2014,other vegetables,Vegetables
4713,27-06-2014,bottled water,Beverages
3353,24-01-2014,root vegetables,Vegetables
1043,16-06-2014,napkins,Uncategorized
3227,01-03-2014,spices,Spices & Seasonings
3210,21-12-2014,citrus fruit,Fruits
4696,08-09-2014,root vegetables,Vegetables
4573,24-03-2014,soft cheese,Dairy
4409,06-05-2014,domestic eggs,Uncategorized
2994,12-07-2014,whole milk,Dairy
4233,18-01-2014,chicken,Meat
2353,18-01-2014,soda,Beverages
4561,25-02-2014,rolls/buns,Bakery
1182,16-11-2014,candy,Uncategorized
1223,18-11-2014,citrus fruit,Fruits
3837,01-12-2014,newspapers,Uncategorized
1268,30-01-2014,other vegetables,Vegetables
1649,24-11-2014,rolls/buns,Bakery
1113,07-01-2014,whole milk,Dairy
3248,25-10-2014,soups,Canned Goods
3803,17-06-2014,butter,Dairy
2389,13-10-2014,turkey,Uncategorized
4266,29-11-2014,yogurt,Dairy
2719,16-02-2014,whole milk,Dairy
1679,19-08-2014,rolls/buns,Bakery
3861,18-03-2014,pip fruit,Fruits
3402,26-12-2014,flour,Dry Goods
3559,12-11-2014,whole milk,Dairy
4958,10-05-2014,frozen meals,Frozen
4780,09-03-2014,chewing gum,Uncategorized
4162,16-02-2014,curd cheese,Dairy
3813,25-12-2014,beef,Meat
4624,22-04-2014,frozen vegetables,Vegetables
2004,14-09-2014,pip fruit,Fruits
3978,06-09-2014,baking powder,Uncategorized
4124,27-07-2014,light bulbs,Uncategorized
4280,01-03-2014,soda,Beverages
3279,26-11-2014,waffles,Uncategorized
4649,10-09-2014,chewing gum,Uncategorized
2293,26-08-2014,shopping bags,Uncategorized
3030,02-05-2014,citrus fruit,Fruits
4856,08-07-2014,tropical fruit,Fruits
3917,30-05-2014,pip fruit,Fruits
1486,30-11-2014,soda,Beverages
2334,02-03-2014,root vegetables,Vegetables
2097,14-03-2014,white wine,Uncategorized
4169,04-04-2014,rolls/buns,Bakery
4821,20-04-2014,beverages,Uncategorized
1487,09-04-2014,rolls/buns,Bakery
3308,12-04-2014,other vegetables,Vegetables
2611,26-04-2014,chewing gum,Uncategorized
3203,04-03-2014,soda,Beverages
4166,07-12-2014,other vegetables,Vegetables
1010,05-03-2014,pip fruit,Fruits
4890,30-11-2014,whole milk,Dairy
3763,04-02-2014,citrus fruit,Fruits
1867,22-02-2014,butter,Dairy
1532,11-10-2014,liquor (appetizer),Pet Supplies
2923,11-03-2014,citrus fruit,Fruits
3489,11-01-2014,whole milk,Dairy
4370,27-05-2014,yogurt,Dairy
1086,26-09-2014,canned beer,Canned Goods
4156,13-12-2014,packaged fruit/vegetables,Fruits
2310,21-03-2014,mustard,Condiments
1073,05-06-2014,yogurt,Dairy
4818,07-01-2014,pip fruit,Fruits
2724,23-04-2014,tropical fruit,Fruits
2570,29-07-2014,yogurt,Dairy
4495,25-05-2014,long life bakery product,Uncategorized
1423,26-02-2014,citrus fruit,Fruits
2298,12-10-2014,hard cheese,Dairy
1442,28-07-2014,citrus fruit,Fruits
4265,17-04-2014,popcorn,Uncategorized
3589,04-03-2014,other vegetables,Vegetables
3011,29-08-2014,sugar,Dry Goods
4931,26-09-2014,margarine,Uncategorized
3068,05-09-2014,hamburger meat,Meat
2736,10-06-2014,turkey,Uncategorized
2243,02-10-2014,meat,Uncategorized
1769,16-07-2014,bottled beer,Uncategorized
1361,10-12-2014,whole milk,Dairy
4708,09-11-2014,pastry,Bakery
4019,31-10-2014,root vegetables,Vegetables
2441,12-10-2014,root vegetables,Vegetables
2863,07-07-2014,hamburger meat,Meat
1196,20-01-2014,pip fruit,Fruits
4418,20-02-2014,nuts/prunes,Snacks
2911,23-03-2014,domestic eggs,Uncategorized
3101,07-02-2014,meat,Uncategorized
4948,03-04-2014,other vegetables,Vegetables
1478,07-04-2014,whipped/sour cream,Dairy
2126,27-04-2014,other vegetables,Vegetables
2555,12-12-2014,beef,Meat
3170,29-03-2014,white bread,Bakery
2244,21-07-2014,coffee,Beverages
1666,13-05-2014,pip fruit,Fruits
4415,06-03-2014,tropical fruit,Fruits
4785,16-09-2014,soda,Beverages
4598,14-12-2014,beverages,Uncategorized
1636,09-07-2014,white bread,Bakery
3258,15-06-2014,tropical fruit,Fruits
4065,12-10-2014,semi-finished bread,Bakery
1501,24-05-2014,chicken,Meat
1120,21-08-2014,tropical fruit,Fruits
2014,21-04-2014,yogurt,Dairy
4533,17-10-2014,root vegetables,Vegetables
3017,11-09-2014,frozen meals,Frozen
2152,07-09-2014,whipped/sour cream,Dairy
2231,05-10-2014,citrus fruit,Fruits
3314,13-08-2014,long life bakery product,Uncategorized
4211,29-05-2014,whipped/sour cream,Dairy
4899,10-05-2014,pot plants,Uncategorized
1890,12-04-2014,pork,Meat
1268,26-09-2014,white wine,Uncategorized
3172,24-03-2014,bottled water,Beverages
1444,30-04-2014,pip fruit,Fruits
4758,08-05-2014,pip fruit,Fruits
3125,23-02-2014,pip fruit,Fruits
3258,19-12-2014,curd,Uncategorized
4474,18-07-2014,bottled water,Beverages
1204,25-05-2014,whole milk,Dairy
4212,14-03-2014,dessert,Uncategorized
3106,10-01-2014,ham,Meat
2284,06-01-2014,tropical fruit,Fruits
3849,06-01-2014,whole milk,Dairy
2588,07-01-2014,whole milk,Dairy
3733,05-08-2014,fruit/vegetable juice,Fruits
4306,01-07-2014,cream cheese ,Dairy
1718,03-12-2014,domestic eggs,Uncategorized
2893,19-01-2014,other vegetables,Vegetables
2806,06-04-2014,onions,Uncategorized
4710,08-04-2014,pork,Meat
2848,14-07-2014,butter,Dairy
4807,02-05-2014,pickled vegetables,Vegetables
3747,05-11-2014,sausage,Meat
2048,07-11-2014,root vegetables,Vegetables
4358,11-08-2014,tropical fruit,Fruits
1581,17-02-2014,newspapers,Uncategorized
3815,03-09-2014,pet care,Pet Supplies
2176,27-09-2014,rolls/buns,Bakery
4726,01-04-2014,rolls/buns,Bakery
1844,10-04-2014,citrus fruit,Fruits
1458,20-10-2014,pip fruit,Fruits
4491,18-09-2014,tropical fruit,Fruits
1013,12-11-2014,root vegetables,Vegetables
1538,12-06-2014,sausage,Meat
3420,20-08-2014,pip fruit,Fruits
2414,04-06-2014,chicken,Meat
3714,07-06-2014,other vegetables,Vegetables
2484,19-03-2014,whipped/sour cream,Dairy
2315,03-06-2014,hamburger meat,Meat
4056,10-05-2014,tropical fruit,Fruits
2630,11-01-2014,root vegetables,Vegetables
2324,15-04-2014,misc. beverages,Uncategorized
1185,28-09-2014,ice cream,Dairy
2415,25-06-2014,candy,Uncategorized
3524,27-03-2014,citrus fruit,Fruits
4583,06-06-2014,tropical fruit,Fruits
1827,03-12-2014,whole milk,Dairy
4393,05-02-2014,whole milk,Dairy
3177,13-09-2014,pip fruit,Fruits
3201,20-09-2014,cream cheese ,Dairy
4033,25-02-2014,whipped/sour cream,Dairy
3059,12-07-2014,meat,Uncategorized
4006,25-11-2014,pet care,Pet Supplies
1070,10-04-2014,citrus fruit,Fruits
1116,11-08-2014,other vegetables,Vegetables
3422,27-07-2014,root vegetables,Vegetables
4720,24-08-2014,UHT-milk,Dairy
1595,09-11-2014,bottled beer,Uncategorized
3776,21-02-2014,shopping bags,Uncategorized
1058,24-05-2014,chicken,Meat
4313,17-07-2014,white wine,Uncategorized
1618,30-10-2014,whole milk,Dairy
3834,21-03-2014,flour,Dry Goods
4493,29-11-2014,waffles,Uncategorized
2843,06-06-2014,rum,Uncategorized
1754,20-04-2014,whipped/sour cream,Dairy
2107,30-10-2014,rolls/buns,Bakery
4157,01-04-2014,salty snack,Snacks
2029,15-07-2014,other vegetables,Vegetables
1122,25-09-2014,chicken,Meat
2993,24-06-2014,yogurt,Dairy
4938,13-10-2014,berries,Uncategorized
2753,07-07-2014,whole milk,Dairy
3450,03-04-2014,root vegetables,Vegetables
4745,14-08-2014,pip fruit,Fruits
2520,18-12-2014,dessert,Uncategorized
1260,09-07-2014,sausage,Meat
4121,21-04-2014,citrus fruit,Fruits
3145,16-08-2014,citrus fruit,Fruits
3479,10-05-2014,rolls/buns,Bakery
1166,17-02-2014,root vegetables,Vegetables
3021,22-06-2014,root vegetables,Vegetables
2489,06-02-2014,bottled beer,Uncategorized
3343,16-06-2014,whole milk,Dairy
3028,04-01-2014,white bread,Bakery
4866,29-06-2014,citrus fruit,Fruits
4943,01-05-2014,finished products,Uncategorized
1636,08-08-2014,other vegetables,Vegetables
3593,21-09-2014,citrus fruit,Fruits
2835,23-07-2014,whole milk,Dairy
1383,24-03-2014,onions,Uncategorized
2545,26-05-2014,citrus fruit,Fruits
4719,28-09-2014,whole milk,Dairy
2065,20-07-2014,specialty bar,Snacks
2941,13-06-2014,bottled water,Beverages
4430,21-05-2014,citrus fruit,Fruits
4019,18-05-2014,chewing gum,Uncategorized
1407,10-09-2014,white bread,Bakery
2960,03-09-2014,frozen meals,Frozen
1343,07-02-2014,chicken,Meat
4715,31-01-2014,sausage,Meat
3174,10-11-2014,bottled water,Beverages
1623,07-12-2014,canned fish,Seafood
2506,27-02-2014,bottled water,Beverages
4799,01-04-2014,dessert,Uncategorized
2360,09-07-2014,rolls/buns,Bakery
4822,21-08-2014,whole milk,Dairy
1554,04-02-2014,beef,Meat
1867,18-03-2014,other vegetables,Vegetables
2148,20-11-2014,tropical fruit,Fruits
3863,19-07-2014,citrus fruit,Fruits
1010,23-08-2014,bottled water,Beverages
2768,05-05-2014,pastry,Bakery
2218,06-11-2014,candy,Uncategorized
3785,16-08-2014,root vegetables,Vegetables
4823,05-01-2014,UHT-milk,Dairy
1475,05-03-2014,pastry,Bakery
1052,15-01-2014,root vegetables,Vegetables
2565,16-09-2014,yogurt,Dairy
4259,23-07-2014,canned beer,Canned Goods
1061,31-07-2014,whipped/sour cream,Dairy
4001,11-06-2014,dessert,Uncategorized
1620,21-07-2014,frozen meals,Frozen
3458,27-06-2014,rolls/buns,Bakery
2178,11-10-2014,beef,Meat
1995,14-06-2014,other vegetables,Vegetables
2161,24-09-2014,root vegetables,Vegetables
3349,12-07-2014,organic sausage,Meat
3742,26-09-2014,soda,Beverages
1244,24-11-2014,candy,Uncategorized
3609,13-05-2014,specialty bar,Snacks
2375,31-03-2014,berries,Uncategorized
2974,24-05-2014,tropical fruit,Fruits
3030,06-12-2014,other vegetables,Vegetables
3737,22-12-2014,whipped/sour cream,Dairy
3619,15-03-2014,curd,Uncategorized
3705,28-02-2014,fruit/vegetable juice,Fruits
3974,25-08-2014,whole milk,Dairy
1798,06-10-2014,bottled beer,Uncategorized
3272,18-04-2014,whipped/sour cream,Dairy
2666,26-05-2014,whole milk,Dairy
2717,02-01-2014,fruit/vegetable juice,Fruits
1095,25-03-2014,yogurt,Dairy
1480,22-12-2014,pip fruit,Fruits
2865,23-09-2014,root vegetables,Vegetables
1482,22-10-2014,rolls/buns,Bakery
3184,20-04-2014,whole milk,Dairy
1468,21-08-2014,root vegetables,Vegetables
4077,25-12-2014,bottled water,Beverages
3888,16-10-2014,pork,Meat
3972,07-04-2014,baking powder,Uncategorized
2967,27-05-2014,whole milk,Dairy
3380,16-08-2014,other vegetables,Vegetables
2207,03-12-2014,onions,Uncategorized
3600,08-04-2014,butter milk,Dairy
4618,09-07-2014,cocoa drinks,Uncategorized
2680,16-03-2014,other vegetables,Vegetables
1651,23-03-2014,frozen vegetables,Vegetables
2934,22-03-2014,whole milk,Dairy
2860,15-09-2014,flower soil/fertilizer,Uncategorized
1307,01-11-2014,other vegetables,Vegetables
4628,15-12-2014,ham,Meat
1240,27-11-2014,soda,Beverages
3666,14-06-2014,whole milk,Dairy
4008,14-10-2014,other vegetables,Vegetables
3386,07-08-2014,other vegetables,Vegetables
2472,19-06-2014,herbs,Spices & Seasonings
1323,18-06-2014,whole milk,Dairy
1654,08-09-2014,whole milk,Dairy
3620,17-05-2014,soda,Beverages
4952,03-09-2014,beef,Meat
3966,07-01-2014,whole milk,Dairy
1964,23-03-2014,tropical fruit,Fruits
2504,16-12-2014,curd,Uncategorized
4500,04-02-2014,soft cheese,Dairy
1454,03-05-2014,chicken,Meat
1066,01-02-2014,root vegetables,Vegetables
3692,09-01-2014,beef,Meat
2445,17-04-2014,pip fruit,Fruits
1860,31-01-2014,sausage,Meat
1153,19-08-2014,chicken,Meat
3317,10-08-2014,soda,Beverages
1957,20-03-2014,root vegetables,Vegetables
4303,28-11-2014,root vegetables,Vegetables
3556,04-10-2014,curd,Uncategorized
1282,04-05-2014,other vegetables,Vegetables
4034,29-08-2014,citrus fruit,Fruits
2807,17-07-2014,whole milk,Dairy
2232,25-01-2014,domestic eggs,Uncategorized
2303,12-06-2014,beef,Meat
2050,20-10-2014,UHT-milk,Dairy
3381,05-12-2014,grapes,Uncategorized
3402,17-05-2014,white bread,Bakery
3072,12-11-2014,hamburger meat,Meat
3381,30-10-2014,butter,Dairy
1367,31-01-2014,whole milk,Dairy
1895,23-01-2014,onions,Uncategorized
3267,14-11-2014,brown bread,Bakery
4192,17-02-2014,root vegetables,Vegetables
2274,04-12-2014,chicken,Meat
4430,03-10-2014,sausage,Meat
4329,23-10-2014,tropical fruit,Fruits
1922,30-05-2014,whole milk,Dairy
2154,14-08-2014,whole milk,Dairy
4523,06-08-2014,newspapers,Uncategorized
1136,02-05-2014,citrus fruit,Fruits
3439,27-04-2014,whole milk,Dairy
2980,27-11-2014,whole milk,Dairy
2509,17-08-2014,cling film/bags,Uncategorized
4845,10-07-2014,butter,Dairy
3589,24-07-2014,salt,Dry Goods
4505,18-01-2014,tropical fruit,Fruits
2744,06-05-2014,rolls/buns,Bakery
4236,04-03-2014,chicken,Meat
3928,07-08-2014,citrus fruit,Fruits
1207,28-04-2014,ham,Meat
2578,19-04-2014,house keeping products,Uncategorized
1553,09-05-2014,citrus fruit,Fruits
3942,01-01-2014,other vegetables,Vegetables
1583,27-11-2014,citrus fruit,Fruits
2133,24-05-2014,other vegetables,Vegetables
4860,14-11-2014,rolls/buns,Bakery
4548,09-10-2014,herbs,Spices & Seasonings
2610,01-01-2014,hamburger meat,Meat
2344,22-02-2014,rolls/buns,Bakery
2920,12-05-2014,margarine,Uncategorized
3847,14-03-2014,berries,Uncategorized
1991,31-10-2014,white wine,Uncategorized
2241,17-02-2014,root vegetables,Vegetables
2794,18-02-2014,chicken,Meat
3871,05-10-2014,rolls/buns,Bakery
4085,15-04-2014,bottled water,Beverages
3964,11-03-2014,root vegetables,Vegetables
1111,24-10-2014,bottled water,Beverages
1294,14-08-2014,root vegetables,Vegetables
1338,11-08-2014,UHT-milk,Dairy
1079,07-10-2014,red/blush wine,Uncategorized
1794,14-04-2014,citrus fruit,Fruits
4715,10-11-2014,root vegetables,Vegetables
4694,01-06-2014,tropical fruit,Fruits
4156,19-08-2014,cat food,Pet Supplies
4264,16-03-2014,whole milk,Dairy
1732,03-04-2014,citrus fruit,Fruits
1161,26-01-2014,beef,Meat
4058,07-02-2014,whole milk,Dairy
4183,08-10-2014,bottled beer,Uncategorized
4371,29-03-2014,baking powder,Uncategorized
3218,06-01-2014,pastry,Bakery
3094,02-07-2014,whole milk,Dairy
2082,10-10-2014,fruit/vegetable juice,Fruits
3015,31-01-2014,ham,Meat
4582,22-06-2014,pork,Meat
4851,20-05-2014,sausage,Meat
3766,20-02-2014,pork,Meat
